SeriousDlqin2yrs,RevolvingUtilizationOfUnsecuredLines,age,NumberOfTime30-59DaysPastDueNotWorse,DebtRatio,MonthlyIncome,NumberOfOpenCreditLinesAndLoans,NumberOfTimes90DaysLate,NumberRealEstateLoansOrLines,NumberOfTime60-89DaysPastDueNotWorse,NumberOfDependents
1,1.028714267,24,1,249.0,,4,0,0,0,0.0
0,0.218596952,64,0,0.414579717,4032.0,7,0,2,0,0.0
0,0.9999999,55,0,0.0,,0,0,0,0,0.0
0,0.187560415,47,0,0.519775421,8014.0,13,0,3,0,4.0
1,0.47310554,28,0,0.19666374,3416.0,17,0,0,0,0.0
0,0.0,44,0,1.003997335,1500.0,7,0,1,0,0.0
0,0.071459706,55,0,0.009221198,9000.0,3,0,0,0,0.0
0,0.028570612,45,0,0.002088409,14364.0,2,0,0,0,0.0
0,0.017810329,52,0,0.626168224,3530.0,14,0,2,0,3.0
0,0.0,49,1,0.1925809,3800.0,5,0,0,0,2.0
0,0.9999999,29,1,0.232245681,2083.0,3,0,0,0,0.0
0,0.18213617,72,0,0.771584368,3300.0,24,0,3,0,0.0
1,0.351071593,40,0,0.498611265,9000.0,6,0,4,0,0.0
0,0.010279589,42,0,0.270160579,17000.0,14,0,3,0,1.0
0,0.040166244,68,1,0.476891153,5300.0,10,0,2,0,0.0
0,0.168307945,33,0,0.368352789,6167.0,7,0,2,0,0.0
0,0.011613372,58,1,0.497409981,7914.0,12,0,2,0,2.0
0,0.392129873,41,1,0.303043606,6833.0,12,0,1,0,0.0
0,0.03398867,26,1,235.5,1.0,7,0,0,0,0.0
0,0.045025999,46,0,4308.0,,10,0,2,0,0.0
0,0.002956232,57,0,0.002771855,4689.0,12,0,0,0,0.0
0,0.133916006,61,1,0.39673913,3311.0,7,0,1,0,3.0
0,0.564996632,32,0,0.10155692,7000.0,3,0,0,0,0.0
0,0.414884657,52,0,0.869890616,3473.0,16,0,2,0,1.0
1,0.477177221,60,0,687.0,,2,0,1,0,0.0
0,0.0,71,0,0.552567237,3680.0,6,0,1,0,0.0
1,0.924430228,43,0,0.016424661,4200.0,2,0,0,0,0.0
0,0.0,73,0,0.09520476,5713.0,10,0,1,0,0.0
0,0.487205127,42,0,2234.0,0.0,4,0,1,0,2.0
0,0.104116685,75,0,2389.0,,7,0,2,0,0.0
0,0.526119667,67,0,0.288076079,6834.0,10,0,1,0,0.0
0,0.9999999,44,0,0.005934718,3032.0,3,0,0,0,2.0
0,0.240459789,35,0,0.623288725,6500.0,11,0,2,0,2.0
0,0.933033483,27,1,0.11772057,4000.0,4,0,0,0,1.0
0,0.011450082,46,0,0.001665973,2400.0,2,0,0,0,2.0
0,0.097011326,60,0,0.678053658,6000.0,9,0,3,0,0.0
0,0.025481552,64,0,3516.0,,26,0,2,0,0.0
0,0.984403119,49,0,0.633364098,4333.0,8,0,1,0,1.0
0,0.034437884,70,0,0.009390275,7773.0,5,0,0,0,0.0
0,0.301059629,61,0,0.24775045,5000.0,13,0,0,0,0.0
0,0.264210583,41,0,0.502265372,6179.0,12,0,2,0,0.0
0,0.014299777,62,0,0.310789928,11000.0,12,0,1,0,4.0
0,0.227604468,62,0,265.0,1.0,12,0,0,0,0.0
0,0.038875134,76,0,0.55521378,3250.0,14,0,1,0,0.0
0,0.9999999,54,1,0.076154212,2100.0,1,1,0,0,0.0
1,0.509157111,55,1,0.423597679,2584.0,11,1,0,0,0.0
0,0.125275212,52,0,0.522381172,6500.0,19,0,2,0,0.0
0,0.046593266,78,0,28.0,,5,0,0,0,0.0
0,0.750240723,57,0,1.105648229,3416.0,5,0,2,0,1.0
0,0.0,57,0,6163.0,,20,0,2,0,0.0
0,0.534310358,48,1,0.344596273,4024.0,4,0,1,0,1.0
0,0.851029794,27,1,1020.0,,8,0,0,0,3.0
0,0.445160437,40,0,0.086742461,72916.0,13,0,2,0,2.0
0,0.001872693,60,1,2031.0,,8,0,1,0,0.0
0,0.271357621,55,0,0.188215411,13016.0,8,0,2,0,0.0
0,0.49948783,40,0,0.361878849,6982.0,5,0,3,0,0.0
0,0.325783924,51,1,0.251033196,7500.0,13,0,0,0,1.0
0,0.002222176,66,0,0.387045182,2500.0,9,0,1,0,0.0
0,0.9999999,23,0,0.006451613,929.0,2,0,0,0,0.0
0,0.009166384,72,0,0.068150209,2875.0,5,0,1,0,1.0
0,0.111725885,43,0,0.75684854,17667.0,10,0,4,0,0.0
0,0.0,58,0,0.117647059,2566.0,4,0,0,0,0.0
0,0.186831834,36,0,0.370104983,6000.0,17,0,2,0,0.0
0,0.0,62,0,0.50609878,5000.0,11,0,2,0,0.0
0,0.9999999,62,1,38.0,,0,0,0,0,0.0
0,0.237655247,65,0,4007.0,,6,0,2,0,0.0
0,0.28962037,49,0,0.289736603,12110.0,11,0,3,0,4.0
0,0.012319507,82,0,0.002698651,3334.0,8,0,0,0,0.0
0,0.425102252,35,0,1.62273579,1600.0,13,0,1,0,0.0
0,0.885093347,31,0,0.456459875,3513.0,14,0,1,0,0.0
0,0.0,44,0,0.156195765,5761.0,7,0,0,0,0.0
0,0.084138627,67,1,1295.0,,10,1,2,0,3.0
0,0.134447528,69,0,0.376627827,2917.0,7,0,1,0,0.0
0,0.130711246,51,0,0.720703906,7500.0,4,0,2,0,0.0
0,0.041054724,64,0,0.133470226,11200.0,25,0,1,0,0.0
0,0.086103984,65,0,0.315865836,11716.0,14,0,2,0,1.0
0,0.883389576,77,1,1.992015968,500.0,4,0,1,2,0.0
0,0.553160403,58,0,0.607695584,7042.0,11,0,2,0,2.0
0,0.000764661,39,0,0.362826483,9877.0,7,0,2,0,2.0
0,0.9999999,80,1,536.0,,7,0,0,1,0.0
0,0.9999999,38,1,0.504051106,6417.0,5,0,2,1,2.0
0,0.894738001,52,0,0.516179953,3800.0,15,0,0,0,0.0
0,0.030053276,58,0,937.0,,5,0,1,0,0.0
0,0.238676269,44,0,1106.0,0.0,3,0,1,0,2.0
0,0.069426588,78,0,0.005725041,12750.0,7,0,0,0,0.0
0,0.086766844,74,0,0.009108197,9990.0,7,0,0,0,0.0
0,0.9999999,65,0,0.46741573,889.0,6,0,0,0,0.0
0,0.150269224,46,0,0.20122812,14167.0,14,0,2,0,2.0
0,0.838122139,41,0,0.527705061,4583.0,6,0,1,0,2.0
0,0.0,62,3,1598.0,,8,0,1,0,0.0
0,0.013510955,69,0,0.228838206,6532.0,11,0,2,0,0.0
0,0.105894106,23,0,0.00206754,1450.0,1,0,0,0,0.0
1,0.9920016,45,0,0.280799765,3400.0,7,0,0,0,0.0
1,0.018149392,62,0,0.191742148,8500.0,19,0,2,0,1.0
0,0.438567028,30,0,0.184855234,22000.0,27,0,0,0,0.0
0,0.720127102,54,0,0.60413294,10500.0,15,0,0,0,2.0
1,0.9999999,54,98,0.012993503,2000.0,0,98,0,98,0.0
0,0.036690987,60,0,0.271373057,1543.0,6,1,0,0,0.0
0,0.389287942,43,0,1905.0,,9,0,1,0,0.0
0,0.0,40,0,0.131309148,2535.0,2,0,0,0,2.0
0,0.059841055,52,0,0.287787885,10333.0,17,0,2,0,1.0
0,0.009139584,59,0,0.464216191,8732.0,19,0,1,0,0.0
0,0.0,38,0,0.197560488,5000.0,3,0,0,0,4.0
0,0.514484438,43,0,0.476400837,4300.0,9,0,0,0,3.0
0,0.116687105,48,0,0.267779839,4850.0,6,0,0,0,0.0
0,0.042558298,86,0,0.004427939,7000.0,7,0,0,0,0.0
0,0.820203892,67,1,2637.0,,2,0,1,1,0.0
0,0.056888145,56,0,0.317038485,11250.0,9,0,2,0,1.0
0,0.78088158,50,0,0.699858614,4950.0,17,0,2,0,0.0
0,0.11336083,42,0,705.0,,7,1,1,0,0.0
0,0.023361642,59,0,0.575825947,6204.0,9,0,2,0,1.0
0,0.078118859,51,0,0.024534303,2200.0,14,0,0,0,1.0
0,0.004386955,59,1,1865.0,,9,0,2,0,0.0
0,0.056437742,56,0,1740.0,,5,0,1,0,0.0
0,0.278308247,67,0,0.489500954,11000.0,15,0,1,0,0.0
0,0.590752139,44,0,0.264713622,11400.0,4,0,1,0,0.0
0,0.727561857,29,0,0.087654589,4608.0,5,1,0,0,0.0
0,0.031913292,71,0,44.0,,5,0,0,0,0.0
0,0.539283042,56,2,0.382722379,3900.0,4,0,1,1,0.0
0,0.0,27,0,1.166013072,764.0,4,0,0,0,0.0
1,0.9999999,34,0,0.251345119,1300.0,1,0,0,1,2.0
0,0.038608085,68,0,1.6949709,6700.0,20,0,1,0,0.0
0,0.048635504,28,0,0.001390821,2875.0,4,0,0,0,0.0
0,0.450522513,65,1,0.461566028,5580.0,5,1,1,0,0.0
0,0.026325934,75,0,2211.0,,5,0,1,0,1.0
0,0.650264654,32,1,0.132498193,4150.0,4,0,0,0,0.0
0,0.071793981,70,0,116.0,,6,0,0,0,0.0
0,0.213545338,61,0,0.499711594,5200.0,7,0,1,0,1.0
0,0.004859662,67,0,0.174281677,4245.0,6,0,0,0,0.0
0,0.0,41,0,0.318019519,4200.0,6,0,1,0,1.0
0,0.116372785,49,0,1.160915727,6027.0,8,0,3,0,0.0
0,0.178475546,42,0,0.251336898,4300.0,11,0,0,0,0.0
0,0.987030024,55,0,0.255154185,11349.0,6,0,2,0,0.0
0,0.0,56,0,0.0,,3,0,0,0,0.0
0,0.086391361,47,0,0.243832142,8673.0,11,0,1,0,0.0
0,0.9999999,30,0,0.0,1500.0,0,0,0,0,0.0
0,0.143877076,34,0,0.048829264,12000.0,8,0,0,0,0.0
0,0.212957409,61,0,0.49910018,5000.0,4,0,2,0,0.0
0,0.025887011,82,1,0.016198704,925.0,1,0,0,0,0.0
0,0.9999999,75,0,0.002980713,17109.0,2,0,0,0,0.0
0,0.016414873,60,0,0.651897296,4400.0,11,0,1,0,2.0
0,0.018162599,62,0,0.062480475,3200.0,25,0,0,0,0.0
0,0.14158695,32,0,0.024621922,8000.0,9,1,0,0,0.0
0,0.69589,51,2,0.185049093,16600.0,10,0,2,0,0.0
0,0.093593753,64,0,0.088850796,14000.0,5,0,2,0,0.0
0,0.222562052,45,0,0.126291236,3000.0,2,0,0,0,3.0
0,0.0,45,0,0.006069261,2800.0,15,0,0,0,0.0
0,0.0,52,0,0.187382886,1600.0,3,0,0,0,2.0
0,0.757539204,31,0,0.142831796,5635.0,8,0,0,0,0.0
0,0.432608917,63,0,2691.0,,4,0,2,1,0.0
0,0.11225725,62,1,0.696658098,3500.0,8,0,1,0,0.0
0,0.085263825,66,0,0.006434361,11966.0,5,0,0,0,1.0
0,0.082141036,43,0,0.730808154,6916.0,10,0,2,0,4.0
0,0.090272311,50,0,0.362469136,10124.0,20,0,3,1,2.0
0,0.358582795,54,0,0.429296659,10833.0,16,0,2,0,3.0
0,0.0,54,0,0.371810255,12500.0,13,0,2,0,1.0
0,0.727441335,59,0,0.208126858,12107.0,11,0,2,0,2.0
0,0.015240821,49,0,2447.0,,6,0,1,0,2.0
0,0.014628275,23,0,0.004872107,820.0,3,0,0,0,0.0
0,0.590515189,26,0,0.206396802,2000.0,7,0,0,0,1.0
0,0.9999999,75,0,0.003498251,2000.0,1,0,0,0,0.0
0,0.865725247,68,0,912.0,,7,0,0,0,0.0
0,0.579669667,65,0,4289.0,,7,0,1,0,1.0
0,0.0,47,0,0.160276239,13900.0,6,0,1,0,2.0
0,0.008029087,34,0,0.350329934,5000.0,13,0,1,0,1.0
0,0.499271491,49,0,0.297646824,15000.0,20,0,1,0,0.0
0,0.778902637,43,0,0.145776405,8416.0,3,0,1,0,1.0
0,0.22263998,53,0,0.416233507,2500.0,32,0,1,0,0.0
0,0.069330445,41,0,0.285457163,8333.0,8,0,1,0,0.0
0,0.462165308,40,0,1566.0,,7,0,0,0,0.0
0,0.725706145,41,0,1787.0,,5,0,1,0,5.0
0,0.113042359,53,2,0.242149664,6400.0,9,0,1,0,0.0
0,0.055342894,65,0,2047.0,,19,0,1,0,3.0
0,0.092907093,23,0,0.002150538,929.0,2,0,0,0,0.0
0,0.13899358,30,0,0.29864178,12000.0,7,0,2,0,4.0
0,0.335519758,62,1,0.494302169,8160.0,16,3,2,0,0.0
0,0.915557432,64,0,1.489742241,1900.0,6,0,1,0,4.0
0,0.748205864,63,0,1.219254863,3032.0,9,0,2,0,0.0
0,1.006748313,46,3,0.437981559,15833.0,10,0,3,1,3.0
0,0.0,56,0,0.0,10700.0,2,0,0,0,0.0
0,0.026297616,80,0,0.112754898,2500.0,14,0,1,0,0.0
0,0.907092907,27,0,0.534990003,3500.0,6,0,0,0,0.0
0,0.81296356,42,0,0.130797001,3600.0,5,0,0,0,1.0
0,0.011089033,30,0,1.474764282,1802.0,7,0,2,0,0.0
0,0.2296357,78,1,495.0,,13,0,0,0,0.0
0,0.000356628,73,0,0.268891502,6801.0,4,0,1,0,0.0
0,0.55489022,21,0,0.004920049,1625.0,1,0,0,0,0.0
0,0.914193729,54,1,0.730998401,6880.0,17,0,1,0,2.0
0,0.0,45,0,0.262959866,7175.0,6,0,1,0,2.0
0,0.102254372,69,0,1.453563715,925.0,33,0,1,0,0.0
0,0.363434606,57,0,0.173137037,9916.0,5,0,1,1,0.0
0,0.050343448,61,0,0.357656551,5700.0,8,0,2,0,0.0
0,0.021155757,40,0,0.272104181,5835.0,5,0,2,0,0.0
0,0.012794882,48,0,0.243234639,3140.0,2,0,1,0,3.0
0,0.063293671,62,0,0.650545562,3390.0,8,0,2,0,0.0
0,0.180843887,41,1,0.236522,6658.0,12,0,0,0,0.0
1,0.9999999,42,3,0.49390122,5000.0,6,0,1,0,0.0
0,0.9999999,88,0,0.0,7409.0,3,0,0,0,0.0
0,0.792340898,40,0,0.504346761,8166.0,13,0,0,0,0.0
0,0.112719752,24,0,0.548725637,2000.0,6,0,1,0,1.0
0,0.029072225,36,0,26.0,,7,0,0,0,0.0
0,0.304926764,28,0,0.017995766,2833.0,4,0,0,0,0.0
0,0.167505415,52,1,0.331923715,12059.0,26,0,2,0,4.0
0,0.740234424,64,0,0.295231548,16000.0,12,0,1,0,0.0
0,0.063210313,61,0,0.438712258,5000.0,13,0,1,0,0.0
0,0.034684597,72,0,0.268743914,4107.0,9,0,1,0,0.0
0,0.057165306,66,1,0.249652797,18000.0,9,0,3,0,3.0
0,0.004999821,56,0,0.064794816,4166.0,4,0,0,0,0.0
0,0.005719721,59,0,1622.0,,15,0,1,0,4.0
0,0.150253448,53,0,0.397194639,14400.0,26,0,2,0,2.0
0,0.007983315,79,0,0.164645161,3874.0,8,0,1,0,0.0
0,0.011005275,47,0,500.0,,5,0,1,0,0.0
0,0.9999999,21,0,0.037023325,2700.0,1,0,0,0,0.0
0,0.0,45,0,0.366891719,11700.0,11,0,4,0,3.0
0,0.0,43,0,0.0,11416.0,6,0,0,0,0.0
0,0.029123896,37,0,0.206802228,30342.0,10,0,3,0,2.0
0,0.9999999,25,0,0.163775156,1440.0,1,0,0,0,0.0
0,0.276490679,59,1,0.152483391,3160.0,5,0,0,0,0.0
0,0.123057868,43,0,0.159352783,8157.0,9,0,0,0,0.0
0,0.449501824,37,0,0.532231853,7383.0,16,0,2,0,0.0
0,0.001821682,65,0,0.153803688,9056.0,14,0,1,0,1.0
0,0.028626201,60,0,0.126642544,5250.0,6,0,0,0,2.0
0,0.56578986,46,0,0.448768297,2800.0,4,0,0,0,4.0
0,0.9999999,63,1,0.005706134,1401.0,0,0,0,1,1.0
0,0.9999999,41,0,1.397971128,2562.0,4,0,2,0,1.0
0,0.050464985,67,0,0.318025617,3200.0,2,0,1,0,0.0
0,0.23486003,58,0,0.150093308,3750.0,10,0,0,0,0.0
0,0.30381878,31,0,0.108129316,6371.0,6,0,0,0,2.0
0,0.265288544,65,0,0.692495424,6555.0,19,0,3,0,1.0
0,0.043282737,49,0,111.0,,5,0,0,0,2.0
0,0.556041854,31,0,574.0,,5,0,0,0,0.0
0,0.010301903,68,0,0.22236978,6776.0,11,0,1,0,0.0
1,0.976023976,28,2,0.195521791,2500.0,7,1,0,0,0.0
0,0.9999999,66,0,0.0,,2,0,0,0,
0,0.096858947,47,0,0.25066892,7100.0,8,0,1,0,0.0
0,0.441970663,60,0,380.0,,5,0,0,0,0.0
0,0.597072234,55,0,0.368231588,13333.0,7,0,3,0,1.0
0,0.133896918,38,0,0.641615255,5348.0,5,0,1,0,0.0
0,0.916347275,41,0,745.0,,4,0,0,0,0.0
0,0.9999999,35,0,0.523104417,3916.0,6,0,1,0,0.0
0,0.162268146,56,0,123.0,,2,0,0,0,
0,0.035474887,67,0,0.147330188,23952.0,20,0,1,0,1.0
0,0.400173322,56,0,0.069949199,2558.0,4,0,0,0,0.0
0,0.0,74,1,0.0,3833.0,5,0,0,0,0.0
0,0.047828318,64,1,0.282194129,4666.0,9,0,1,0,0.0
0,1.019270391,39,0,0.270145423,5844.0,5,0,1,0,3.0
0,0.146031628,58,0,0.170119358,7288.0,6,1,1,0,0.0
0,0.010032999,69,0,0.001999,4001.0,3,0,0,0,0.0
0,0.070352118,46,0,0.124907613,4058.0,6,0,0,0,1.0
0,0.0,72,1,0.142169245,12667.0,9,0,2,0,0.0
0,0.190710166,64,0,0.470994248,6084.0,18,0,0,0,0.0
0,0.815059962,53,0,2716.0,,11,0,1,0,0.0
0,0.060586696,62,0,0.375324935,5000.0,13,0,2,0,0.0
0,0.270416695,59,0,2164.0,,9,0,1,0,1.0
0,0.529216848,64,0,4235.0,,21,0,1,0,1.0
0,0.025867738,60,0,0.754385965,2621.0,13,0,2,0,0.0
0,0.010498279,44,0,0.011726696,8356.0,9,0,0,0,2.0
0,0.298773749,32,0,0.393677384,3700.0,11,0,0,0,0.0
0,0.9999999,59,0,0.224281931,4908.0,3,0,1,0,1.0
